app_key,full_name,gs_name
app key,compareTo#org.bottiger.podcast.provider.QueueEpisode,getPriority#org.bottiger.podcast.provider.QueueEpisode
app key,toString#org.bottiger.podcast.provider.QueueEpisode,getPriority#org.bottiger.podcast.provider.QueueEpisode
app key,toString#org.bottiger.podcast.provider.QueueEpisode,getTitle#org.bottiger.podcast.provider.QueueEpisode
app key,getArtwork#org.bottiger.podcast.provider.SlimImplementations.SlimEpisode,getArtwork#org.bottiger.podcast.provider.SlimImplementations.SlimEpisode
app key,setStatus#org.bottiger.podcast.views.PlayPauseImageView,drawBackground#org.bottiger.podcast.views.PlayPauseImageView
app key,setProgressMs#org.bottiger.podcast.views.PlayPauseImageView,getEpisode#org.bottiger.podcast.views.PlayPauseImageView
app key,onDraw#org.bottiger.podcast.views.PlayPauseImageView,drawBackground#org.bottiger.podcast.views.PlayPauseImageView
app key,onDraw#org.bottiger.podcast.views.PlayPauseImageView,getEpisode#org.bottiger.podcast.views.PlayPauseImageView
app key,smoothScrollBy#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getTrackedYScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,computeScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,scrollDown#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScrollUntilOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,scrollDown#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getTrackedYScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,scrollOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,scrollOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScrollUntilOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,fling#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,onTouchEvent#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,snapToTop#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll_ignoreOversizedHeaderForSnapping#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,getScrollUntilOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll_ignoreOversizedHeaderForSnapping#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,scrollTo#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,snapToBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,access$000#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getScrollUntilOffBottom#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,getScroll_ignoreOversizedHeaderForSnapping#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,getTrackedYScroll#org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller
app key,clearCurrentMediaItem#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast,setPlayerState#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
app key,clearStreamState#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast,setPlayerState#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
app key,play#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast,isPlaying#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
app key,processMediaStatusBundle#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast,setPlayerState#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
app key,isActive#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast,isConnected#org.bottiger.podcast.flavors.MediaCast.VendorMediaRouteCast
app key,scrollBy#org.bottiger.podcast.views.TopPlayer,getPlayerHeight#org.bottiger.podcast.views.TopPlayer
app key,onTouchEvent#org.bottiger.podcast.views.TopPlayer,getPlayerHeight#org.bottiger.podcast.views.TopPlayer
app key,toggleSubscriptionStatus#org.bottiger.podcast.adapters.DiscoverySearchAdapter,subscribe#org.bottiger.podcast.adapters.DiscoverySearchAdapter
app key,toggleSubscriptionStatus#org.bottiger.podcast.adapters.DiscoverySearchAdapter,unsubscribe#org.bottiger.podcast.adapters.DiscoverySearchAdapter
app key,setProgressMs#org.bottiger.podcast.views.PlayerSeekbar,isTouching#org.bottiger.podcast.views.PlayerSeekbar
app key,access$800#org.bottiger.podcast.ViewServer,removeWindowListener#org.bottiger.podcast.ViewServer
app key,stop#org.bottiger.podcast.Player.SoundWavesPlayer,isInitialized#org.bottiger.podcast.Player.SoundWavesPlayer
app key,setPriority#org.bottiger.podcast.provider.FeedItem,getPriority#org.bottiger.podcast.provider.FeedItem
app key,delFile#org.bottiger.podcast.provider.FeedItem,setDownloaded#org.bottiger.podcast.provider.FeedItem
app key,<init>#org.bottiger.podcast.activities.feedview.FeedViewAdapter,setDataset#org.bottiger.podcast.activities.feedview.FeedViewAdapter
app key,onPostExecute#org.bottiger.podcast.service.PodcastService$PollTask,onPostExecute#org.bottiger.podcast.service.PodcastService$PollTask
app key,changePlaylistFilter#org.bottiger.podcast.playlist.Playlist,getSubscriptionFilter#org.bottiger.podcast.playlist.Playlist
app key,playNext#org.bottiger.podcast.service.PlayerService,getCurrentItem#org.bottiger.podcast.service.PlayerService
app key,toggle#org.bottiger.podcast.service.PlayerService,getCurrentItem#org.bottiger.podcast.service.PlayerService
app key,play#org.bottiger.podcast.service.PlayerService,getCurrentItem#org.bottiger.podcast.service.PlayerService
app key,markForSubscription#org.bottiger.podcast.provider.SlimImplementations.SlimSubscription,setIsSubscribed#org.bottiger.podcast.provider.SlimImplementations.SlimSubscription
app key,performClick#org.bottiger.podcast.views.dialogs.DialogPlaylistContent,getContext#org.bottiger.podcast.views.dialogs.DialogPlaylistContent
app key,access$600#org.bottiger.podcast.views.dialogs.DialogPlaylistContent,getContext#org.bottiger.podcast.views.dialogs.DialogPlaylistContent
